date,ar_scale,discharge_cfs,prism_3d_tot,daymet_3d_tot,pnnl_3d_tot,conus_3d_tot,ucla_3d_tot,gridmet_3d_tot,hrrr_3d_tot,ornl_mean_3d_tot,ornl_median_3d_tot
1981-01-02,0.0,34200,0.4727361500263214,0.0126662859693169,0.891582190990448,2.123114427377004e-05,0.0164421238005161,0.1441634241245136,,31.7378861105,11.0179083455
1981-01-08,1.0,17800,1.909838914871216,2.8508529663085938,8.991935729980469,2.43099308013916,9.246622085571287,3.156809338521402,,28.62128360366666,24.5725103
1981-01-09,1.0,17600,2.10500168800354,2.8508529663085938,8.628049850463867,2.430920362472534,9.208412170410156,3.156809338521402,,36.38469959333333,32.09244005
1981-01-11,0.0,15100,0.2436189949512481,0.0,0.0025367268826812,2.355305639412109e-07,0.0459791980683803,0.1087548638132293,,43.02734007666667,29.9646503
1981-01-18,3.0,12900,11.069244384765623,14.95183563232422,36.4351692199707,12.47393798828125,20.061473846435547,8.737743190661481,,30.124509831666668,17.83856625
1981-01-19,3.0,12600,11.557271003723145,16.381574630737305,38.02790832519531,9.792253494262695,15.713963508605955,6.362840466926073,,23.241820931666663,8.889301600000001
1981-01-20,3.0,13100,14.840140342712402,16.734527587890625,28.58140563964844,14.401647567749023,12.541755676269531,19.023346303501956,,21.688283770833333,10.6283522
1981-01-21,3.0,12300,17.14556121826172,22.17254066467285,22.891014099121094,28.168869018554688,27.41371726989746,29.884435797665372,,21.8962500625,6.32897571
1981-01-22,2.0,14500,22.5772705078125,20.61066436767578,35.077762603759766,32.43313980102539,38.02658462524414,33.25252918287938,,19.771381114666667,9.90379721
1981-01-26,0.0,13000,20.573421478271484,22.84782218933105,22.893783569335938,25.42804336547852,28.820188522338867,18.97392996108952,,23.4688272,20.77503625
1981-02-07,0.0,8160,0.0,0.0005721324705518,0.0025493944995105,0.0,0.0007143604452721,0.2326848249027235,,22.363303315666663,8.762550647
1981-02-12,1.0,9910,54.302371978759766,72.74325561523438,65.80339050292969,44.04479217529297,36.57292175292969,76.42529182879379,,31.69992405,29.45425745
1981-02-13,1.0,12700,84.23594665527344,72.59962463378906,104.82357788085938,80.06440734863281,75.35464477539062,88.88229571984436,,36.15975228833333,35.13577945
1981-02-15,3.0,22000,119.53263854980467,103.7980499267578,164.87965393066406,136.68002319335938,146.58392333984375,144.19747081712055,,28.818301205,27.9558671
1981-02-16,3.0,33800,135.3011474609375,102.99879455566406,170.57778930664062,139.84957885742188,147.93295288085938,130.92937743190657,,23.406224316666663,17.75534915
1981-02-17,3.0,43700,137.33448791503906,93.45126342773438,146.63841247558594,127.65185546875,129.6432342529297,123.32159533073936,,18.55683988333333,15.991023900000002
1981-02-18,2.0,38900,112.22259521484376,75.94854736328125,148.26663208007812,119.56887817382812,128.10279846191406,104.9305447470818,,18.40848342,14.76854401
1981-02-19,2.0,37500,85.18689727783203,59.110313415527344,118.96176147460938,93.55549621582033,101.83841705322266,86.30583657587556,,16.353124779999998,17.46010471
1981-02-20,0.0,39700,59.2977294921875,30.68858528137207,84.79011535644531,71.13431549072266,83.35470581054688,44.509922178988326,,17.346053746666666,16.66572421
1981-03-06,0.0,10900,0.318922609090805,0.3776185512542724,3.042467832565308,2.4830048084259038,3.2094225883483887,0.6396887159533082,,8.033691466383333,6.412932455
1981-03-10,0.0,8930,0.027079364284873,0.0,4.734141839435324e-05,2.7141213649883863e-05,0.107782669365406,0.0052529182879377,,16.9538702615,10.46443075
1981-03-13,0.0,11300,0.4133808612823486,0.0,0.0101937875151634,0.0856590420007705,0.2018288969993591,2.418677042801555,,30.688642427500003,25.82831885
1981-03-26,0.0,12200,9.872336387634276,2.547041893005371,19.667085647583008,11.058451652526855,20.518693923950195,8.544552529182875,,13.712492605833331,7.607632499999999
1981-04-01,0.0,17800,40.87729263305664,22.033483505249023,51.8995475769043,46.78245544433594,45.47634506225586,29.009922178988315,,25.35243676,13.46320375
1981-04-07,0.0,15300,39.52290344238281,37.90330123901367,40.54447555541992,42.29925155639648,44.84503173828125,52.05797665369654,,10.536203700666666,7.0983141000000005
1981-04-10,0.0,16500,56.55014801025391,32.947608947753906,46.76844024658203,42.19278335571289,49.602638244628906,42.89902723735409,,17.509011617133332,15.43739725
1981-04-18,0.0,15600,2.3764429092407227,0.0,0.281564325094223,0.4761727750301361,0.0755931288003921,0.9581712062256807,,19.993781666483336,9.5102175
1981-04-21,0.0,18600,29.331378936767575,25.79230117797852,22.382015228271484,42.0843505859375,43.14414596557617,41.03521400778209,,6.65997267505,3.07789272
1981-04-22,3.0,20800,45.38054656982422,36.44515609741211,32.54507827758789,43.600345611572266,44.893798828125,47.647665369649786,,6.174530410616667,2.73920757
1981-04-23,3.0,24300,59.48952102661133,28.412899017333984,60.81867599487305,54.42026519775391,49.50882339477539,51.38735408560308,,6.611322028616667,4.03093489
1981-04-24,3.0,30200,37.97877883911133,17.951950073242188,44.6111946105957,21.98473358154297,19.79722785949707,21.60233463035018,,11.07685184945,6.187034000000001
1981-04-27,3.0,18700,43.94541549682617,47.144168853759766,40.568660736083984,47.45626831054688,64.5938949584961,62.14980544747084,,13.46009555666667,8.083523865
1981-04-28,3.0,23200,63.921630859375,48.579376220703125,45.4697494506836,50.56010437011719,74.48588562011719,58.38132295719846,,16.397569012833333,13.460292515
1981-04-29,3.0,32400,63.764591217041016,22.809499740600582,56.5805549621582,45.02903747558594,67.58911895751953,26.20719844357977,,15.003524134283335,12.53102463
1981-05-08,0.0,13600,12.22077751159668,9.709461212158203,5.278165340423584,7.316026210784912,13.464441299438477,8.205058365758756,,6.1209337255000005,1.0325613525
1981-05-09,0.0,11500,9.6329984664917,9.174483299255373,2.090726852416992,3.385897397994995,4.001350402832031,6.789688715953308,,7.792579737666667,2.7672734935
1981-05-27,0.0,17600,6.053766250610352,0.0,0.2786770462989807,0.4878832995891571,0.3265972435474396,1.1237354085603113,,10.686206048333334,8.241161005
1981-05-29,0.0,15000,2.8047053813934326,5.487710952758789,2.6233928203582764,6.74967622756958,6.417652130126953,4.818093385214008,,14.104249624,7.798178271999999
1981-06-01,0.0,15700,4.024084568023682,5.367369651794434,3.950556755065918,1.3865790367126465,1.6633400917053225,2.853112840466928,,7.72807862725,3.32019255
1981-06-03,1.0,14000,17.253673553466797,15.919471740722656,22.74742126464844,14.316590309143066,15.252079010009766,30.189494163424143,,11.137594518646663,8.60654301
1981-06-04,1.0,17400,18.07534408569336,34.32883071899414,31.199954986572266,27.37168884277344,34.50646209716797,52.0274319066148,,15.091130803646664,9.55308755
1981-06-05,1.0,17300,51.01740264892578,28.56940650939941,41.61164855957031,31.976318359375,38.53807067871094,38.12762645914397,,13.212603393333335,6.146836390000001
1981-06-17,2.0,22300,38.20040130615234,39.25444793701172,45.37084197998047,36.127220153808594,29.96031379699707,58.84319066147857,,4.082429057333334,0.7236274675
1981-06-18,2.0,23300,49.32757186889648,38.27475357055664,58.23676681518555,39.98277282714844,34.83646011352539,51.90856031128404,,2.490451032666667,0.3323029475
1981-06-19,2.0,28400,44.947792053222656,39.61656951904297,60.45624542236328,34.932491302490234,33.60945510864258,44.97412451361868,,3.1087681055000003,0.1214384659999999
1981-06-20,0.0,31400,44.96393966674805,23.37879753112793,45.145263671875,27.988525390625,23.0879020690918,21.944357976653716,,3.2689008445,0.5720402585000001
1981-06-21,2.0,29300,22.486560821533203,23.72599220275879,23.6882438659668,20.841625213623047,15.696632385253906,21.870817120622583,,2.892135005,0.8081024135000001
1981-06-22,2.0,27500,27.284374237060547,17.83173370361328,14.02861213684082,23.223892211914062,15.009878158569336,16.967315175097287,,1.85741669779,0.877321525
1981-06-25,0.0,24800,0.9006966948509216,0.0446997918188571,0.1142220944166183,0.014381879940629,0.0252399053424596,0.8992217898832676,,4.810312275166667,2.8680310805
1981-06-30,0.0,22800,4.683427333831787,4.204133033752441,1.3576279878616333,0.493515133857727,0.6824386119842529,4.327626459143967,,3.492430511666667,1.578845215
1981-07-02,0.0,22600,3.90393328666687,0.0,0.1314365863800048,0.1205345764756202,0.0622876249253749,0.0,,10.7073512547,4.0150810111
1981-07-10,0.0,14000,1.2265077829360962,13.010844230651855,1.7354536056518557,1.918136715888977,5.019563674926758,6.8247081712062245,,6.777398348,2.7190677115
1981-07-13,0.0,15600,20.39841079711914,18.970569610595703,9.585686683654783,18.499027252197266,13.285721778869627,18.570233463035017,,1.9762082656666664,0.452283357
