time,DaymetV4,ACCESS-CM2_ssp585_r1i1p1f1_DBCCA_Daymet,BCC-CSM2-MR_ssp585_r1i1p1f1_DBCCA_Daymet,CNRM-ESM2-1_ssp585_r1i1p1f2_DBCCA_Daymet,MPI-ESM1-2-HR_ssp585_r1i1p1f1_DBCCA_Daymet,MRI-ESM2-0_ssp585_r1i1p1f1_DBCCA_Daymet,NorESM2-MM_ssp585_r1i1p1f1_DBCCA_Daymet
1980-03-01 12:00:00,0.013340753,4.1409283,10.462424,0.0,0.0,0.48503503,0.0
1980-03-02 12:00:00,7.0546937,13.576255,0.3741165,0.0,2.2001965,6.1863832,0.0
1980-03-03 12:00:00,9.480304,20.313644,0.2210431,0.0,0.2621654,22.107914,0.21872967
1980-03-04 12:00:00,3.9607203,11.705619,0.0,0.0,24.486946,13.665391,1.8683956
1980-03-05 12:00:00,0.0,1.2984754,0.020132149,8.580559,29.209816,22.149006,1.112157
1980-03-06 12:00:00,0.0,0.0,0.0,4.685418,0.79320353,17.590294,0.0014668108
1980-03-07 12:00:00,0.64766926,0.0,0.111812375,0.19056614,9.148425,11.805183,6.2886314
1980-03-08 12:00:00,1.2274027,0.0,0.0,3.7787604,9.503795,4.4241886,6.2044353
1980-03-09 12:00:00,7.696422,0.0,0.5275402,0.67186755,8.957126,2.1773221,10.808903
1980-03-10 12:00:00,14.09329,0.0,0.372686,0.9498497,1.7023218,4.0763054,16.57095
1980-03-11 12:00:00,12.077309,0.0,12.370264,4.7633686,0.2494553,0.37621787,16.391397
1980-03-12 12:00:00,19.044949,2.347778,2.2625322,18.919003,0.08408214,0.0,16.765598
1980-03-13 12:00:00,12.806,1.1144845,10.333942,28.188915,0.0,0.0,0.8483914
1980-03-14 12:00:00,10.330369,2.7918673,2.070066,5.763171,0.02498281,0.0,1.4508052
1980-03-15 12:00:00,7.236148,9.306746,0.37473124,13.395672,0.0,0.36485502,0.0
1980-03-16 12:00:00,16.46036,1.484449,0.95643044,11.176382,1.9038881,5.6506357,0.06958458
1980-03-17 12:00:00,11.108583,4.021218,0.0,24.668327,0.0,9.823486,2.32777
1980-03-18 12:00:00,5.691096,0.0042913794,4.681413,13.653507,16.821892,6.442094,0.40584823
1980-03-19 12:00:00,4.484661,0.018179571,15.750182,9.380146,15.614718,9.598486e-05,1.5946938
1980-03-20 12:00:00,0.99483603,0.09344712,13.942923,21.243435,18.750893,0.0331202,11.839613
1980-03-21 12:00:00,0.0,2.9392638,1.463265,5.5318656,0.9043548,12.578623,3.6879435
1980-03-22 12:00:00,9.624269,1.0428338,27.40924,1.2143242,9.156864,7.3188953,11.933343
1980-03-23 12:00:00,2.4165425,0.06766788,11.91552,0.4187438,0.48687923,17.062523,4.764796
1980-03-24 12:00:00,0.2556991,8.499193,0.8504939,0.0,0.0,8.092357,8.153971
1980-03-25 12:00:00,5.7634745,12.0232315,6.121301,4.835595,0.6455374,14.601118,5.6574326
1980-03-26 12:00:00,7.856917,9.964985,5.1356473,0.67806387,0.8017304,13.10628,0.08601981
1980-03-27 12:00:00,2.5943894,5.5943284,3.2426884,0.0,0.016582688,7.8807473,0.0
1980-03-28 12:00:00,15.831943,4.305808,0.09411958,0.083991565,0.004599162,0.00041827766,3.3582358
1980-03-29 12:00:00,8.67313,13.596163,0.0037420576,0.0,1.367021,0.0054839803,6.3503504
1980-03-30 12:00:00,4.887805,7.176019,2.9167962,0.0,10.18169,16.623116,2.2280293
1980-03-31 12:00:00,1.5842791,5.5360746,0.016043473,0.0,2.5233154,7.4233627,1.8517785
1980-04-01 12:00:00,0.0,4.023322,2.0843349,0.0,4.467683,0.954966,0.0
1980-04-02 12:00:00,0.0,13.513325,0.021769296,0.7248979,4.9334755,9.274524,0.0
1980-04-03 12:00:00,0.0,4.5887117,0.0,0.38456672,6.2764263,9.147464,0.0
1980-04-04 12:00:00,4.2165213,8.518495,0.0,0.33057815,0.67224747,13.922792,10.065405
1980-04-05 12:00:00,10.292789,17.390001,0.0,0.7098155,0.010955149,18.455849,11.250916
1980-04-06 12:00:00,10.413565,4.1103125,0.30224836,0.0,0.06565125,12.285208,0.0077206977
1980-04-07 12:00:00,3.817003,0.94033134,0.046070702,0.0,0.0,15.406686,18.525002
1980-04-08 12:00:00,11.629205,0.6769953,7.778017,0.0,0.0045261593,12.098363,5.4104466
1980-04-09 12:00:00,7.4181514,0.16691317,6.683881,0.5186852,7.18046,5.030961,0.37284496
1980-04-10 12:00:00,0.5686369,1.1255383,10.870994,0.0,3.2047217,0.045843646,5.901863
1980-04-11 12:00:00,0.0,0.16825137,9.117782,0.0003016989,0.018001989,5.328826,3.4330983
1980-04-12 12:00:00,0.0,0.093550414,1.791868,2.1158962,0.079972774,0.74551153,9.728926
1980-04-13 12:00:00,0.20125641,0.001059503,1.0485077,4.391308,0.0035960525,1.6210876,21.823256
1980-04-14 12:00:00,18.556084,7.863141,4.993152,0.12163454,3.1488652,18.207726,13.829588
1980-04-15 12:00:00,0.7759683,5.241749,0.32474047,0.35666138,8.08218,2.5175056,0.86019206
1980-04-16 12:00:00,0.0,0.8902176,0.037888557,2.0861256,5.3903513,35.147366,4.041852
1980-04-17 12:00:00,1.605798,7.9620814,0.00019872922,2.504105,5.0889626,11.260422,2.1110861
1980-04-18 12:00:00,12.501846,4.23476,0.004058402,4.888026,1.4709084,10.454128,2.0334184
1980-04-19 12:00:00,17.251003,8.270298,0.017695462,0.0,8.036249,13.334418,4.5114822
1980-04-20 12:00:00,4.411507,20.260124,1.4309223,4.045702,0.24397881,0.00055736885,0.2185176
1980-04-21 12:00:00,0.004369339,11.691302,0.06348725,0.0,0.8959526,3.5188184,0.27499175
1980-04-22 12:00:00,0.0,0.9692606,6.228991,0.31390154,12.956228,0.014453495,4.2666473
1980-04-23 12:00:00,0.024600416,0.3845002,18.960238,4.4607944,8.684765,0.0,8.694326
1980-04-24 12:00:00,0.17897159,0.016845297,3.9353566,2.5903854,2.7702005,7.412174,3.3688502
1980-04-25 12:00:00,0.0,0.024781669,8.26812,0.0,4.4573183,0.21900786,1.7368338
1980-04-26 12:00:00,0.0,0.006444505,5.09533,0.009683672,4.632397,0.5049478,2.042569
1980-04-27 12:00:00,2.7096462,0.003685278,0.0,0.0018685504,1.9685143,3.4312096,4.2526145
1980-04-28 12:00:00,4.8260903,0.12550281,0.05815889,0.0,3.583409,0.0,0.2685695
1980-04-29 12:00:00,0.2828768,6.8713055,0.04063955,0.9431893,1.3785646,0.0,0.0
1980-04-30 12:00:00,0.0,4.648909,8.910628,9.840734,6.0298996,0.051313754,0.0022752467
1980-05-01 12:00:00,0.0,0.0,11.323123,9.011839,2.164073,0.028392207,0.32949105
1980-05-02 12:00:00,0.0,2.2737763,4.481903,0.003151278,2.617596,0.0,18.04984
1980-05-03 12:00:00,0.0,8.373339,0.0,0.93344593,0.008984821,0.0,7.181658
1980-05-04 12:00:00,0.0,9.146408,0.0,0.010511806,0.0,0.083664805,8.927955
1980-05-05 12:00:00,2.7013965,8.788987,0.0,0.0,0.029810395,1.5267813,4.431253
1980-05-06 12:00:00,0.19681443,2.957626,0.9880221,0.0,0.003685278,4.701354,18.18322
1980-05-07 12:00:00,0.0,5.018528,0.24935904,0.06733025,0.2841407,2.1316626,5.9720087
1980-05-08 12:00:00,3.434534,9.287952,0.20375994,0.0,5.565563,0.28962934,4.0114536
1980-05-09 12:00:00,4.7938914,5.591628,0.0,0.18876508,0.02496876,0.14892417,12.366135
1980-05-10 12:00:00,0.0,0.7842058,0.56516886,0.5279682,0.062335473,15.64305,7.0247464
1980-05-11 12:00:00,5.300439,0.047548898,3.8484392,0.72241,0.6969212,1.966072,0.0048844125
1980-05-12 12:00:00,2.5157752,0.005043306,0.014174246,0.08436115,0.525789,3.35222,6.887551
1980-05-13 12:00:00,1.1122127,0.0,0.34890863,2.1276188,2.6004732,2.430801,0.52497697
1980-05-14 12:00:00,11.477188,0.0,0.0,0.08538254,2.9437585,4.58669,11.800507
1980-05-15 12:00:00,3.2808168,0.0,7.6318455,0.074869186,0.6239753,0.0,0.022282362
1980-05-16 12:00:00,0.0,0.0,7.361829,0.17590193,0.1856072,1.8372535,1.4748709
1980-05-17 12:00:00,0.0,0.0,8.1776085,0.0,0.17435333,3.9518585,1.4835976
1980-05-18 12:00:00,0.0,0.0,1.7589076,0.10201042,0.0,1.4167168,8.903595
1980-05-19 12:00:00,6.970454,0.0,0.08090845,0.0,0.0,0.0,0.43412477
1980-05-20 12:00:00,22.857433,0.012930805,12.245515,0.16809778,0.23234296,0.0024672165,0.16114502
1980-05-21 12:00:00,4.9167433,0.74759746,13.89661,20.59773,0.0,2.8986874,4.932414
1980-05-22 12:00:00,1.7681445,2.670232,1.1602938,5.2990055,0.0,0.11337544,12.039011
1980-05-23 12:00:00,0.6741177,0.4446758,0.091574,0.0,1.0161976,0.2751909,17.1998
1980-05-24 12:00:00,3.4099023,0.0788406,2.533806,0.47446185,0.29354063,0.20207119,15.709051
1980-05-25 12:00:00,6.0891356,4.2267303,5.1614532,0.6020448,0.30910236,0.0800244,9.631652
1980-05-26 12:00:00,5.1177397,1.9244885,12.370972,3.3856564,0.0,0.14118081,4.3244195
1980-05-27 12:00:00,0.8982786,7.1640453,6.9514766,4.2699428,2.593585,12.284714,0.0
1980-05-28 12:00:00,0.018161852,1.3653743,5.132799,0.13614929,4.923443,8.532164,0.5501475
1980-05-29 12:00:00,0.12262134,0.2113078,0.7163047,1.4285691,0.7894049,2.9844358,0.0042596096
1980-05-30 12:00:00,1.6627121,0.0,13.992499,3.473657,0.0,4.4228077,0.003066108
1980-05-31 12:00:00,4.3091283,0.015248878,17.971369,0.16046786,7.3104706,4.1122537,0.00054075976
1980-06-01 12:00:00,4.147829,0.046119582,17.26038,0.537052,16.063566,0.0,0.006141679
