,0
2012-01-01,0.546
2012-01-02,15.720400000000001
2012-01-03,11.218
2012-01-04,41.8124
2012-01-05,13.400799999999997
2012-01-06,2.4368
2012-01-07,4.3932
2012-01-08,3.7876
2012-01-09,4.5684000000000005
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.4972
2012-01-13,10.546800000000001
2012-01-14,17.26
2012-01-15,5.888799999999999
2012-01-16,16.3128
2012-01-17,17.094800000000003
2012-01-18,16.5148
2012-01-19,12.111200000000004
2012-01-20,35.077600000000004
2012-01-21,21.575600000000005
2012-01-22,15.941599999999996
2012-01-23,5.9312000000000005
2012-01-24,34.9968
2012-01-25,24.658
2012-01-26,9.76
2012-01-27,1.4844
2012-01-28,19.145599999999998
2012-01-29,31.724799999999995
2012-01-30,7.6419999999999995
2012-01-31,14.6608
2012-02-01,8.6016
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,1.4956
2012-02-08,6.050400000000001
2012-02-09,5.3016
2012-02-10,2.8372
2012-02-11,2.2587999999999995
2012-02-12,2.6896000000000004
2012-02-13,1.8159999999999998
2012-02-14,1.3368
2012-02-15,2.0092
2012-02-16,6.056800000000001
2012-02-17,14.695200000000002
2012-02-18,20.6652
2012-02-19,6.814799999999999
2012-02-20,15.150800000000002
2012-02-21,62.402799999999985
2012-02-22,21.3576
2012-02-23,7.206
2012-02-24,32.388799999999996
2012-02-25,22.2764
2012-02-26,6.950399999999999
2012-02-27,0.1
2012-02-28,8.341999999999999
2012-02-29,19.2328
2012-03-01,5.7748
2012-03-02,14.3496
2012-03-03,17.1288
2012-03-04,14.0364
2012-03-05,18.636400000000002
2012-03-06,1.242
2012-03-07,0.0
2012-03-08,0.1936
2012-03-09,22.974
2012-03-10,20.7764
2012-03-11,13.699600000000002
2012-03-12,27.594799999999996
2012-03-13,12.55
2012-03-14,27.40440000000001
2012-03-15,29.460400000000003
2012-03-16,14.1152
2012-03-17,10.3676
2012-03-18,4.490399999999999
2012-03-19,9.0688
2012-03-20,27.832399999999996
2012-03-21,6.9468000000000005
2012-03-22,1.6207999999999998
2012-03-23,0.0
2012-03-24,0.0
2012-03-25,3.0196000000000005
2012-03-26,2.8824
2012-03-27,9.235200000000003
2012-03-28,17.308400000000002
2012-03-29,32.98959999999999
2012-03-30,17.344399999999997
2012-03-31,15.47
2012-04-01,9.5036
2012-04-02,1.0452
2012-04-03,7.011199999999999
2012-04-04,0.5412
2012-04-05,2.058
2012-04-06,2.344
2012-04-07,0.1
2012-04-08,0.057999999999999996
2012-04-09,0.0
2012-04-10,0.0
2012-04-11,7.146399999999997
2012-04-12,2.974
2012-04-13,0.11320000000000001
2012-04-14,0.5492
2012-04-15,7.583600000000001
2012-04-16,16.429999999999996
2012-04-17,2.6856
2012-04-18,4.8908
2012-04-19,35.925999999999995
2012-04-20,8.895599999999998
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.8472
2012-04-24,12.498
2012-04-25,17.0568
2012-04-26,12.540399999999998
2012-04-27,1.086
2012-04-28,2.9172000000000002
2012-04-29,8.0404
2012-04-30,29.503600000000006
