datetime,CONUS_daily_cumsum_mm,UCLA_daily_cumsum_mm,PNNL_daily_cumsum_mm
1995-11-26,18.045694,22.901045,20.409906
1995-11-27,33.870544,39.15532,30.522835
1995-11-28,93.163284,114.79096,85.82007
1995-11-29,194.3212,221.22273,203.8421
1995-11-30,221.6666,250.8889,236.97897
1995-12-01,238.60002,272.72247,271.58624
1995-12-02,263.43506,300.9679,292.61908
1995-12-03,270.10104,316.5785,304.63193
1995-12-04,296.42517,341.11838,324.40637
