datetime,CONUS_daily_cumsum_mm,UCLA_daily_cumsum_mm,PNNL_daily_cumsum_mm
1990-11-21,6.0000105,7.1208963,6.82518
1990-11-22,69.42188,90.45889,61.475574
1990-11-23,141.34222,181.60037,110.33192
1990-11-24,223.23602,262.4893,188.75375
1990-11-25,236.04243,281.07697,207.67564
1990-11-26,236.29698,283.23218,207.98549
1990-11-27,248.94781,302.78992,220.15442
1990-11-28,252.66287,308.6995,225.4346
1990-11-29,290.98505,360.9053,283.6394
