datetime,CONUS_hourly_precip_mm,UCLA_hourly_precip_mm,PNNL_hourly_precip_mm
1995-11-26 00:00:00,0.62175035,0.78073275,0.102501966
1995-11-26 01:00:00,0.47481316,0.8826942,0.48949918
1995-11-26 02:00:00,0.56214267,0.9014799,1.0201781
1995-11-26 03:00:00,0.60269016,1.0744343,1.3191156
1995-11-26 04:00:00,0.8940207,1.1900654,0.96775985
1995-11-26 05:00:00,0.3936047,1.1164732,0.9431188
1995-11-26 06:00:00,0.64319396,0.9847409,0.9254886
1995-11-26 07:00:00,1.4926718,0.9817748,0.77777064
1995-11-26 08:00:00,1.8776629,0.90035355,1.1392454
1995-11-26 09:00:00,0.8374709,1.0543891,1.0744153
1995-11-26 10:00:00,0.88844883,1.4993423,1.1436019
1995-11-26 11:00:00,0.9833678,1.5947281,1.0211085
1995-11-26 12:00:00,0.86723095,1.5188019,1.0183738
1995-11-26 13:00:00,1.0771508,1.3409598,0.9026646
1995-11-26 14:00:00,0.6732049,1.1412472,1.3059757
1995-11-26 15:00:00,0.8635802,0.85314566,1.0121174
1995-11-26 16:00:00,0.9138266,0.67397416,0.6857809
1995-11-26 17:00:00,0.878185,0.7382429,0.66897255
1995-11-26 18:00:00,0.5615671,0.70780975,0.9055111
1995-11-26 19:00:00,0.42744562,0.8186521,0.5720564
1995-11-26 20:00:00,0.38768554,0.7280812,0.49774328
1995-11-26 21:00:00,0.38872287,0.5995963,0.6040879
1995-11-26 22:00:00,0.4261068,0.45507875,0.63616776
1995-11-26 23:00:00,0.3091507,0.3642469,0.67665136
1995-11-27 00:00:00,0.24127875,0.2708099,0.45044577
1995-11-27 01:00:00,0.35667145,0.25105536,0.44755313
1995-11-27 02:00:00,0.16356489,0.19595088,0.3149009
1995-11-27 03:00:00,0.19029789,0.21312822,0.17680222
1995-11-27 04:00:00,0.12491739,0.21573468,0.18952067
1995-11-27 05:00:00,0.08193826,0.17282042,0.1347217
1995-11-27 06:00:00,0.060711198,0.119165845,0.08579198
1995-11-27 07:00:00,0.06291814,0.07199564,0.12839487
1995-11-27 08:00:00,0.13613495,0.055451684,0.14469627
1995-11-27 09:00:00,0.115144916,0.045241375,0.10922318
1995-11-27 10:00:00,0.06605424,0.040796395,0.10481883
1995-11-27 11:00:00,0.051965076,0.039156854,0.10502761
1995-11-27 12:00:00,0.078382574,0.035595328,0.10525201
1995-11-27 13:00:00,0.16210519,0.04590809,0.09236685
1995-11-27 14:00:00,0.16342103,0.18265487,0.10734137
1995-11-27 15:00:00,0.30879745,0.53571177,0.22669563
1995-11-27 16:00:00,0.60777724,0.96744114,0.39134797
1995-11-27 17:00:00,0.9625147,1.2423949,0.65442765
1995-11-27 18:00:00,1.2426871,1.3897758,0.868737
1995-11-27 19:00:00,1.5105755,1.5552287,1.0194166
1995-11-27 20:00:00,1.880305,1.8032416,1.1261792
1995-11-27 21:00:00,2.3011625,2.1199086,1.0715226
1995-11-27 22:00:00,2.5664673,2.358259,1.1115732
1995-11-27 23:00:00,2.3890576,2.3268456,0.94617075
1995-11-28 00:00:00,1.7766054,2.0761218,0.7260171
1995-11-28 01:00:00,1.4012799,1.8941212,0.7216513
1995-11-28 02:00:00,1.119086,1.5610158,0.6775932
1995-11-28 03:00:00,1.1624453,1.4518645,0.47377202
1995-11-28 04:00:00,1.427354,1.6738403,0.53551686
1995-11-28 05:00:00,1.64585,1.883166,1.0264037
1995-11-28 06:00:00,1.8586088,2.1384523,1.2521214
1995-11-28 07:00:00,2.0680196,2.3885577,1.3232751
1995-11-28 08:00:00,2.2526023,2.6029613,1.3584325
1995-11-28 09:00:00,2.389782,2.7980711,1.584868
1995-11-28 10:00:00,2.5405858,2.9482331,1.8215373
1995-11-28 11:00:00,2.9908607,3.105668,1.8546342
1995-11-28 12:00:00,3.5364752,3.2055094,1.7093786
1995-11-28 13:00:00,3.2764316,3.6471398,1.7329272
1995-11-28 14:00:00,3.5696616,4.0445266,1.9867977
1995-11-28 15:00:00,3.7408252,4.586924,2.1487937
1995-11-28 16:00:00,3.5373363,4.870727,2.3154035
1995-11-28 17:00:00,3.563488,4.8930073,2.791546
1995-11-28 18:00:00,2.7015114,4.717033,3.4428961
1995-11-28 19:00:00,1.4367032,4.373851,3.9523475
1995-11-28 20:00:00,1.4309225,3.931622,4.151948
1995-11-28 21:00:00,2.3566582,3.7436526,4.985976
1995-11-28 22:00:00,3.4418974,3.6403425,5.976022
1995-11-28 23:00:00,4.067748,3.4592335,6.7473693
1995-11-29 00:00:00,4.6397114,3.200647,7.1165276
1995-11-29 01:00:00,4.9863744,3.383188,6.911325
1995-11-29 02:00:00,5.6938763,4.346769,6.2988224
1995-11-29 03:00:00,5.478588,4.7197747,5.826348
1995-11-29 04:00:00,3.8562598,4.5706086,4.9777646
1995-11-29 05:00:00,3.1926534,4.2594876,4.517146
1995-11-29 06:00:00,3.4261532,4.6179724,3.76403
1995-11-29 07:00:00,4.3926306,4.362896,3.8004384
1995-11-29 08:00:00,3.2958107,3.7468085,4.4192505
1995-11-29 09:00:00,3.329262,3.220711,4.8816934
1995-11-29 10:00:00,4.063247,3.6124616,5.026918
1995-11-29 11:00:00,4.2709994,4.7347875,5.2815504
1995-11-29 12:00:00,3.046653,5.6215086,5.575638
1995-11-29 13:00:00,3.8039267,5.8705816,5.6524863
1995-11-29 14:00:00,4.6635036,5.22618,5.4929237
1995-11-29 15:00:00,4.5223093,4.724214,4.94215
1995-11-29 16:00:00,4.763362,4.625925,4.5028076
1995-11-29 17:00:00,4.831075,4.539993,4.1817617
1995-11-29 18:00:00,5.372657,6.297923,4.121246
1995-11-29 19:00:00,6.493286,5.614024,4.480296
1995-11-29 20:00:00,5.0104647,6.9767075,4.799655
1995-11-29 21:00:00,3.9831307,4.205062,4.8347282
1995-11-29 22:00:00,2.3425274,2.4182289,3.8094718
1995-11-29 23:00:00,1.699444,1.5353082,2.8070562
1995-11-30 00:00:00,1.3870416,1.5079035,2.3799355
1995-11-30 01:00:00,1.0793254,1.1303786,2.9650953
1995-11-30 02:00:00,1.0264289,1.1929576,2.4836164
1995-11-30 03:00:00,1.593015,1.1100327,1.6929992
1995-11-30 04:00:00,1.7987561,1.2535582,0.96545136
1995-11-30 05:00:00,0.7717129,1.8991404,1.9026748
1995-11-30 06:00:00,1.5181705,2.0290954,1.8316993
1995-11-30 07:00:00,2.7170432,2.0269234,1.9162682
1995-11-30 08:00:00,1.8764806,2.1053555,1.7505751
1995-11-30 09:00:00,1.6677319,1.838117,1.4694506
1995-11-30 10:00:00,1.2968493,1.3196788,1.5073665
1995-11-30 11:00:00,0.86351246,1.141708,1.4610568
1995-11-30 12:00:00,0.8431774,1.0458739,1.3854944
1995-11-30 13:00:00,0.7695603,1.0183712,1.3035444
1995-11-30 14:00:00,0.9032853,0.90823334,1.205131
1995-11-30 15:00:00,0.72466797,0.8562342,1.2375394
1995-11-30 16:00:00,1.0103643,0.8382478,0.8751466
1995-11-30 17:00:00,1.1687784,0.89990574,0.7773552
1995-11-30 18:00:00,0.98318774,0.907542,0.7767942
1995-11-30 19:00:00,0.6389261,0.97806096,0.641899
1995-11-30 20:00:00,0.9818687,0.93998903,0.7487054
1995-11-30 21:00:00,0.7701707,0.9093824,0.64785457
1995-11-30 22:00:00,0.41185775,0.86850005,0.63037217
1995-11-30 23:00:00,0.54349184,0.94097996,0.5808488
1995-12-01 00:00:00,0.6438967,1.0031564,1.0054593
1995-12-01 01:00:00,0.54135215,1.0937998,0.99045295
1995-12-01 02:00:00,0.37094963,1.171941,1.4779342
1995-12-01 03:00:00,0.2662032,1.0090092,1.9657463
