datetime,CONUS_daily_cumsum_mm,UCLA_daily_cumsum_mm,PNNL_daily_cumsum_mm
1990-11-07,16.23029,11.641625,18.729624
1990-11-08,23.213789,20.1786,26.403042
1990-11-09,127.34729,135.63646,104.54231
1990-11-10,210.96689,215.27426,198.35736
1990-11-11,224.26851,228.3178,212.56042
1990-11-12,224.26851,229.1569,212.67393
1990-11-13,274.59732,279.32703,267.25235
1990-11-14,286.3144,291.63934,275.69785
1990-11-15,295.31912,306.70074,286.26193
