datetime,CONUS_daily_cumsum_mm,UCLA_daily_cumsum_mm,PNNL_daily_cumsum_mm
2006-11-04,57.02743,51.98739,37.62879
2006-11-05,83.46745,78.52672,75.062485
2006-11-06,214.34012,174.66953,224.40167
2006-11-07,248.46332,221.7223,318.53632
2006-11-08,261.86224,235.48355,327.32135
2006-11-09,262.73895,236.875,329.42166
2006-11-10,291.40112,269.91632,345.69937
2006-11-11,303.22345,290.29123,371.75186
2006-11-12,350.54965,335.6643,407.2477
