datetime,prism,pnnl,daymet,conus,ucla,gridmet
1990-11-21,6.554759084152674,6.8251800537109375,32.06130599975586,7.779177188873291,9.522934913635254,64.24182879377436
1990-11-22,71.20577252777312,61.4755744934082,88.61499404907227,72.4975380897522,93.87338352203369,141.51031128404674
1990-11-23,129.5597132471734,110.33191680908203,168.15549850463867,149.80922937393188,188.09845066070557,220.98501945525294
1990-11-24,241.543288787282,188.75375366210938,232.29816055297852,227.49083185195923,264.0886468887329,310.73715953307396
1990-11-25,300.14284142321884,207.67564392089844,247.85760593414307,238.7702784538269,281.08866024017334,318.9896887159533
1990-11-26,308.1439159962689,207.98548418283463,257.69102001190186,239.11366665363312,283.96305775642395,328.265953307393
1990-11-27,323.94037293453295,220.15441232919693,264.4134340286255,251.95052540302277,302.8192856311798,339.4976653696498
1990-11-28,329.15687198130627,225.43459850549698,278.3596067428589,256.5366827249527,309.72320771217346,345.5896887159533
1990-11-29,347.4225411834382,283.6394096016884,299.988055229187,294.6572233438492,361.07682251930237,389.8054474708171
