datetime,CONUS_hourly_precip_mm,UCLA_hourly_precip_mm,PNNL_hourly_precip_mm
2006-11-04 00:00:00,3.4757392,0.9025822,2.2910616
2006-11-04 01:00:00,3.102276,1.2424399,2.0514574
2006-11-04 02:00:00,2.7679665,1.2108531,1.9924369
2006-11-04 03:00:00,2.832462,1.2409459,1.8177096
2006-11-04 04:00:00,2.749985,1.6662521,1.7203498
2006-11-04 05:00:00,2.5135322,2.6148336,1.6965137
2006-11-04 06:00:00,2.3490524,2.395427,1.2139012
2006-11-04 07:00:00,2.2047296,2.319364,1.2968181
2006-11-04 08:00:00,2.118572,2.3269823,1.615276
2006-11-04 09:00:00,1.8722888,2.3538837,1.7533364
2006-11-04 10:00:00,1.7530649,2.020381,1.4457355
2006-11-04 11:00:00,1.8131859,2.1914918,1.2621474
2006-11-04 12:00:00,1.8542948,2.0373416,1.129749
2006-11-04 13:00:00,1.250668,1.5848547,1.0475576
2006-11-04 14:00:00,0.5752454,0.81789446,0.5461546
2006-11-04 15:00:00,0.49358594,0.49835858,0.3584542
2006-11-04 16:00:00,1.3067884,0.45892343,0.39154157
2006-11-04 17:00:00,1.1672413,0.25840494,0.2810204
2006-11-04 18:00:00,1.0947796,0.4351784,0.4847219
2006-11-04 19:00:00,1.796473,1.2153901,1.0466586
2006-11-04 20:00:00,2.7969592,3.2256122,1.6369586
2006-11-04 21:00:00,3.9556623,5.826324,2.4215643
2006-11-04 22:00:00,5.212736,6.8050747,4.031645
2006-11-04 23:00:00,5.9701424,6.338593,4.0960226
2006-11-05 00:00:00,6.356231,5.619244,4.492965
2006-11-05 01:00:00,5.7284737,4.5867143,6.4468465
2006-11-05 02:00:00,3.001863,3.8737211,5.3815947
2006-11-05 03:00:00,0.38235933,2.8534095,3.8626368
2006-11-05 04:00:00,0.58781666,1.6706437,2.468992
2006-11-05 05:00:00,0.66094565,1.029972,1.9643837
2006-11-05 06:00:00,0.48055032,1.1505779,1.6756737
2006-11-05 07:00:00,0.23190337,1.3547415,1.7545537
2006-11-05 08:00:00,0.17758243,1.0815104,1.2558433
2006-11-05 09:00:00,0.6610504,0.85333204,1.0916574
