datetime,CONUS_hourly_precip_mm,UCLA_hourly_precip_mm,PNNL_hourly_precip_mm
2003-10-14 00:00:00,0.00011988412,1.6660106e-05,0.00034281824
2003-10-14 01:00:00,7.244241e-05,0.0,0.00016343361
2003-10-14 02:00:00,0.00010909616,0.0,0.0002596986
2003-10-14 03:00:00,2.8782471e-05,0.0,4.059265e-05
2003-10-14 04:00:00,4.5130682e-07,0.0,8.952801e-05
2003-10-14 05:00:00,2.0525794e-09,0.0,0.00066254556
2003-10-14 06:00:00,0.0,0.0,0.00065560616
2003-10-14 07:00:00,0.0,0.0,0.0018860095
2003-10-14 08:00:00,0.0,0.0,0.0038055456
2003-10-14 09:00:00,1.8229543e-11,0.0,0.005384216
2003-10-14 10:00:00,6.832184e-07,0.0,0.008693285
2003-10-14 11:00:00,7.445349e-05,0.0,0.02859956
2003-10-14 12:00:00,0.00014073802,0.0,0.0608621
2003-10-14 13:00:00,2.049486e-05,0.0,0.094940424
2003-10-14 14:00:00,3.1204223e-07,0.0,0.14865485
2003-10-14 15:00:00,6.9230634e-07,0.0,0.2342676
2003-10-14 16:00:00,3.9042075e-07,0.0,0.22893941
2003-10-14 17:00:00,1.6594662e-07,0.0,0.10212007
2003-10-14 18:00:00,2.0749172e-07,0.0,0.02207945
2003-10-14 19:00:00,2.1432457e-07,0.0015146683,0.003014267
2003-10-14 20:00:00,1.3785014e-05,0.027129581,0.00076459476
2003-10-14 21:00:00,7.4699135e-05,0.036538336,0.00035240356
2003-10-14 22:00:00,0.00058374833,0.032488063,0.00083415327
2003-10-14 23:00:00,0.00080223323,0.0108918175,0.00035414245
2003-10-15 00:00:00,0.0015298267,0.0035391827,0.00014028425
2003-10-15 01:00:00,0.0021862953,0.0010495088,0.0001246716
2003-10-15 02:00:00,0.0036647934,2.989477e-05,0.0003011403
2003-10-15 03:00:00,0.0010661894,0.0,0.00013253669
2003-10-15 04:00:00,0.00011070476,0.0,6.220071e-05
2003-10-15 05:00:00,1.505229e-06,0.0,1.778002e-06
2003-10-15 06:00:00,4.850495e-07,0.0,4.214251e-08
2003-10-15 07:00:00,4.732165e-10,0.0,2.6095566e-07
2003-10-15 08:00:00,0.0,0.0,0.0
2003-10-15 09:00:00,0.0,0.0,0.0
2003-10-15 10:00:00,0.0,0.0,0.0
2003-10-15 11:00:00,4.1366658e-08,0.0,2.6908882e-08
2003-10-15 12:00:00,1.3965557e-07,0.0,3.5996786e-06
2003-10-15 13:00:00,5.393331e-08,1.0899136e-06,4.721288e-06
2003-10-15 14:00:00,1.4157438e-08,0.00038228717,7.1699756e-06
2003-10-15 15:00:00,0.0,0.0010925215,0.00011601382
2003-10-15 16:00:00,1.033976e-07,0.015945474,0.00073588674
2003-10-15 17:00:00,0.00072659476,0.035575125,0.0013829205
2003-10-15 18:00:00,0.05450642,0.078044035,0.0068121683
2003-10-15 19:00:00,0.2610148,0.18604293,0.07068955
2003-10-15 20:00:00,0.51917684,0.38536143,0.27253938
2003-10-15 21:00:00,0.9082275,0.5295318,0.41586146
2003-10-15 22:00:00,1.5521593,1.0246019,0.6843374
2003-10-15 23:00:00,2.1432755,1.767652,1.2919677
2003-10-16 00:00:00,1.5668558,1.4620243,1.6987416
2003-10-16 01:00:00,0.84470236,0.6395519,1.2010745
2003-10-16 02:00:00,0.54402286,0.18940213,0.6930471
2003-10-16 03:00:00,1.0546985,0.26003194,0.42587405
2003-10-16 04:00:00,0.9751589,0.35881603,0.53269434
2003-10-16 05:00:00,0.8672348,0.24057965,0.3907111
2003-10-16 06:00:00,0.34392545,0.25990614,0.17723048
2003-10-16 07:00:00,0.12403918,0.47157732,0.11516793
2003-10-16 08:00:00,0.1415613,0.62259334,0.064179406
2003-10-16 09:00:00,0.6693387,0.602428,0.06958253
2003-10-16 10:00:00,1.2328526,0.95429695,0.06585621
2003-10-16 11:00:00,2.016047,1.4208802,0.29912654
2003-10-16 12:00:00,2.9008133,1.9458952,0.8158931
2003-10-16 13:00:00,3.734945,3.52595,1.4538373
2003-10-16 14:00:00,4.444702,4.8064246,2.1929789
2003-10-16 15:00:00,4.8775945,5.823136,3.503815
2003-10-16 16:00:00,5.8472486,6.4465446,4.5900784
2003-10-16 17:00:00,6.2710767,6.254544,4.7919397
2003-10-16 18:00:00,6.4027147,6.124505,4.9658375
2003-10-16 19:00:00,5.845921,5.9066324,4.5990925
2003-10-16 20:00:00,5.0530167,5.0730357,4.4311113
2003-10-16 21:00:00,4.408625,4.525524,4.31099
2003-10-16 22:00:00,3.9856424,4.270372,4.726358
2003-10-16 23:00:00,3.5894005,4.4465413,5.4498954
2003-10-17 00:00:00,3.106217,5.201482,6.804338
2003-10-17 01:00:00,2.7969701,6.1499696,5.9912534
2003-10-17 02:00:00,2.984767,7.3681374,5.700789
2003-10-17 03:00:00,3.6563537,8.22706,4.9276752
2003-10-17 04:00:00,4.229298,8.3889885,4.450646
2003-10-17 05:00:00,5.172306,8.397349,4.374123
2003-10-17 06:00:00,5.8645587,8.011055,4.3729596
2003-10-17 07:00:00,6.3264875,7.66019,4.1244726
2003-10-17 08:00:00,5.8152447,6.436326,3.9565685
2003-10-17 09:00:00,4.5053525,5.2127748,3.5214207
2003-10-17 10:00:00,3.9762135,4.4726458,3.876236
2003-10-17 11:00:00,3.7542927,3.467535,4.1321783
2003-10-17 12:00:00,4.0818424,3.6056886,3.777873
2003-10-17 13:00:00,4.1490207,3.5349886,3.5984788
2003-10-17 14:00:00,3.723134,3.1876533,3.7567673
2003-10-17 15:00:00,2.8987567,3.763287,3.486435
2003-10-17 16:00:00,2.5701344,3.4561093,3.5378664
2003-10-17 17:00:00,2.9016676,3.6224751,3.3990614
2003-10-17 18:00:00,3.2007113,3.7180748,3.6626158
2003-10-17 19:00:00,2.997609,4.0670643,3.3104086
2003-10-17 20:00:00,2.400324,3.3784115,2.0906382
2003-10-17 21:00:00,1.9788132,2.7613204,1.4019389
2003-10-17 22:00:00,0.8317917,1.941305,1.127987
2003-10-17 23:00:00,0.32821923,1.3575472,1.3273278
2003-10-18 00:00:00,0.0747933,0.9418159,1.2494209
2003-10-18 01:00:00,0.006985965,0.5770653,0.82479787
2003-10-18 02:00:00,0.00050903956,0.4058106,0.24403602
2003-10-18 03:00:00,0.0001507737,0.21855132,0.026905168
2003-10-18 04:00:00,2.9733033e-05,0.071988784,0.0025668219
2003-10-18 05:00:00,4.9904306e-06,0.010467997,0.0012928774
2003-10-18 06:00:00,1.8917219e-06,0.0014626639,0.0003895207
2003-10-18 07:00:00,2.144205e-06,0.001261497,8.895662e-05
2003-10-18 08:00:00,1.485683e-07,0.00035531181,3.5769787e-07
2003-10-18 09:00:00,0.0,4.2818032e-05,4.6263647e-08
2003-10-18 10:00:00,0.0,0.0,5.37014e-10
2003-10-18 11:00:00,0.0,0.0,9.101349e-16
2003-10-18 12:00:00,0.0,0.0,0.0
2003-10-18 13:00:00,0.0,0.0,0.0
2003-10-18 14:00:00,0.0,0.0,0.0
2003-10-18 15:00:00,0.0,0.0,0.0
2003-10-18 16:00:00,0.0,0.0,6.3904654e-06
2003-10-18 17:00:00,0.0,0.0,3.6847734e-05
2003-10-18 18:00:00,0.0,0.0,0.00025641595
2003-10-18 19:00:00,0.0,2.4912308e-06,0.001305421
2003-10-18 20:00:00,0.0,0.0,0.0023735953
2003-10-18 21:00:00,0.0,0.0,0.0026769186
2003-10-18 22:00:00,0.0,0.0,0.0026960613
2003-10-18 23:00:00,0.0,4.515356e-06,0.003575837
2003-10-19 00:00:00,0.0,2.646933e-06,0.0030137862
2003-10-19 01:00:00,0.0,0.0,0.0019472602
2003-10-19 02:00:00,0.0,4.04825e-06,0.0012521537
2003-10-19 03:00:00,0.0,2.3666693e-05,0.00091194775
2003-10-19 04:00:00,3.8128597e-08,0.0021746887,0.0014100969
2003-10-19 05:00:00,3.9615992e-05,0.0059000133,0.0032051445
2003-10-19 06:00:00,0.002370926,0.010774107,0.0043249875
2003-10-19 07:00:00,0.09670173,0.048265263,0.0058355937
2003-10-19 08:00:00,0.6841559,0.6242114,0.010244704
2003-10-19 09:00:00,1.1866819,2.5265408,0.032200396
2003-10-19 10:00:00,1.259429,3.5481415,0.050369024
2003-10-19 11:00:00,2.0248954,3.7339568,0.30693668
2003-10-19 12:00:00,1.9953127,3.33462,0.69183975
2003-10-19 13:00:00,1.995389,2.1065402,1.6294483
2003-10-19 14:00:00,1.4548222,1.2765701,2.598982
2003-10-19 15:00:00,0.30409616,0.92309713,3.0861678
2003-10-19 16:00:00,0.45555142,1.3671275,3.0824869
2003-10-19 17:00:00,0.6182303,0.9772289,1.5323588
2003-10-19 18:00:00,0.5985362,0.79999137,1.2384391
2003-10-19 19:00:00,0.6360174,0.8309169,0.44516104
2003-10-19 20:00:00,0.27939618,0.85209763,0.21488924
2003-10-19 21:00:00,0.21428947,0.6963697,0.20041674
2003-10-19 22:00:00,0.0863971,0.47518563,0.22383724
2003-10-19 23:00:00,0.06712308,0.39454356,0.25821337
2003-10-20 00:00:00,0.10676644,0.3286013,0.2205888
2003-10-20 01:00:00,0.08907377,0.19716512,0.16405164
2003-10-20 02:00:00,0.04148981,0.13732591,0.16110392
2003-10-20 03:00:00,0.006942679,0.06573385,0.08189745
2003-10-20 04:00:00,0.002847585,0.024989692,0.058384113
2003-10-20 05:00:00,0.00021872725,0.01870167,0.076289654
2003-10-20 06:00:00,0.002061313,0.007791636,0.093291886
2003-10-20 07:00:00,0.097789325,0.084306136,0.03757926
2003-10-20 08:00:00,0.50522864,0.22028778,0.0016830082
2003-10-20 09:00:00,1.354268,0.2729622,0.010243895
2003-10-20 10:00:00,1.9744747,0.9845866,0.11684927
2003-10-20 11:00:00,2.0933945,2.6208925,0.48744237
2003-10-20 12:00:00,4.1319327,4.2636905,1.0101588
2003-10-20 13:00:00,6.187932,5.674868,1.0753721
2003-10-20 14:00:00,7.159128,4.6405177,0.7391943
2003-10-20 15:00:00,7.163405,4.160345,0.48113832
2003-10-20 16:00:00,6.8372188,5.2706747,0.38976058
2003-10-20 17:00:00,7.478236,6.783274,0.5952982
2003-10-20 18:00:00,7.642574,8.599334,0.48351315
2003-10-20 19:00:00,8.894353,9.817761,0.90203923
2003-10-20 20:00:00,7.838949,8.320862,1.4253715
2003-10-20 21:00:00,8.231891,7.666958,1.6941708
2003-10-20 22:00:00,7.948243,7.7518373,1.8972334
2003-10-20 23:00:00,8.737519,8.717134,1.8633232
2003-10-21 00:00:00,8.352744,9.270379,2.0055234
2003-10-21 01:00:00,7.556646,7.547362,2.7286763
