date,ar_scale,discharge_cfs,prism_3d_tot,daymet_3d_tot,pnnl_3d_tot,conus_3d_tot,ucla_3d_tot,gridmet_3d_tot,hrrr_3d_tot
1990-12-11,0.0,32100,70.42034415583025,40.42568206787109,70.25222778320312,29.722400665283203,35.60581970214844,39.30019455252916,
1990-12-17,1.0,20500,21.32446465566091,41.61408615112305,71.60079956054688,50.062835693359375,62.38480758666992,60.621206225680965,
1990-12-18,1.0,24300,59.448554437650266,53.10591125488281,70.52726745605469,49.09005737304688,64.24877166748047,57.324708171206254,
1990-12-19,0.0,21000,60.7453058606466,45.26331329345703,70.62777709960938,47.79827117919922,60.191741943359375,35.620817120622576,
1991-01-05,0.0,14300,2.257126195024366,0.1547265797853469,0.0038679419085383,4.465384062513067e-09,0.0,1.896303501945524,
1991-01-09,0.0,16500,52.196996201064806,58.622806549072266,67.58970642089844,47.5311279296875,60.33448791503906,79.91400778210112,
1991-01-11,1.0,17800,53.31097515136801,54.744422912597656,81.6820068359375,50.97600555419922,56.44561004638672,86.15311284046689,
1991-01-12,1.0,29200,73.48903642240093,85.98433685302734,113.2960205078125,72.79110717773438,68.53724670410156,134.57529182879375,
1991-01-27,0.0,17000,0.4583441679914398,1.076598048210144,0.0105670802295207,0.0268306117504835,0.1365605592727661,0.0603112840466926,
1991-02-01,4.0,17800,18.27347226903296,37.94907379150391,92.55908203125,52.64141082763672,68.10916137695312,60.70992217898833,
1991-02-02,4.0,24700,54.85147039948502,62.687137603759766,141.62454223632812,102.6916961669922,114.29084014892578,90.37315175097277,
1991-02-03,4.0,32800,75.67949144168976,72.48869323730469,126.0561981201172,92.46951293945312,100.10415649414062,94.64513618677044,
1991-02-04,3.0,34900,84.31797901479737,86.96368408203125,120.68307495117188,122.9958724975586,142.21871948242188,101.78443579766534,
1991-02-05,3.0,48800,86.67849905854429,68.61631774902344,102.37574005126952,88.9128189086914,108.43903350830078,79.28638132295717,
1991-02-06,2.0,42000,63.97568451869813,46.86071014404297,72.53699493408203,68.83049774169922,86.91361999511719,48.637743190661446,
1991-02-07,2.0,30400,40.56019121309988,19.96015167236328,40.368011474609375,17.335264205932617,12.656944274902344,17.086770428015562,
1991-02-08,2.0,28400,16.289546849663736,21.912790298461918,21.686798095703125,9.61236572265625,17.594247817993164,19.56225680933852,
1991-02-11,0.0,31900,5.15636710969181,11.6624174118042,13.04448127746582,1.1197052001953125,1.7965350151062012,17.489688715953317,
1991-02-18,2.0,27100,11.570330771009472,41.625755310058594,20.90951156616211,15.026790618896484,29.8178653717041,46.34474708171206,
1991-02-19,2.0,34200,53.45281065840107,78.13539123535156,71.08502197265625,57.40999984741211,84.44664001464844,110.29863813229572,
1991-02-20,2.0,44100,91.1333535544959,83.9575424194336,83.49813842773438,69.05941772460938,89.38888549804688,110.84922178988326,
1991-03-01,0.0,20500,6.50323708656593,26.047439575195312,20.118070602416992,9.156909942626951,8.927379608154297,27.30544747081712,
1991-03-12,0.0,18900,27.532929254193608,18.62317276000977,29.334699630737305,32.76573181152344,38.40543365478516,26.65311284046692,
1991-03-13,0.0,18600,24.92832312407974,12.087289810180664,20.950532913208008,26.56768798828125,27.92889404296875,14.891828793774314,
1991-03-17,0.0,16600,1.2301128120933984,0.0,0.1437561959028244,0.2489955276250839,0.106320284307003,0.3245136186770426,
1991-03-19,0.0,11500,6.22608411078872,10.437081336975098,2.966656446456909,6.108977317810059,10.778037071228027,9.11906614785992,
1991-03-26,0.0,16200,2.2519694087037685,0.7474675178527832,3.834310293197632,6.577990531921387,14.05837059020996,3.98910505836576,
1991-03-30,0.0,12600,7.320665402041639,6.771836757659912,4.869948387145996,7.633556842803955,7.841091156005859,5.052723735408555,
1991-04-01,0.0,13100,6.852003838379474,5.640322208404541,0.2218958437442779,1.5448881387710571,2.318460464477539,4.650972762645914,
1991-04-03,2.0,12300,17.79523138356565,53.971221923828125,24.06144523620605,38.98069381713867,42.152626037597656,68.93988326848249,
1991-04-04,2.0,20300,77.63253730236345,93.04132080078124,84.7072525024414,109.7771453857422,106.42507934570312,129.73229571984433,
1991-04-05,2.0,30700,132.059952174016,112.73925018310548,140.7877197265625,152.22227478027344,129.1921844482422,147.5813229571984,
1991-04-09,0.0,17800,23.499271540676183,24.62841033935547,42.426719665527344,39.58283996582031,55.12939453125,29.86731517509729,
1991-04-13,0.0,13900,2.189917785876135,0.0605455264449119,0.1337852776050567,0.005429299082607,0.0437833815813064,1.8054474708171215,
1991-04-21,0.0,18800,0.1337724661411821,0.0,0.002376354066655,0.0019561476074159,0.4854119122028351,0.2846303501945524,
1991-04-27,0.0,19100,9.671931169820276,7.775527954101562,11.538631439208984,17.29403305053711,17.05575942993164,5.163618677042804,
1991-04-29,0.0,16300,9.078487572755243,7.062472343444824,7.163141250610352,14.01119899749756,8.229978561401367,6.0352140077821,
1991-05-05,0.0,18900,2.1757705546363506,7.326582908630371,5.520680904388428,9.655739784240724,4.589610576629639,16.209727626459152,
1991-05-11,0.0,19300,10.420753328507166,5.519080638885498,5.747549057006836,6.768632888793945,12.497541427612305,0.5266536964980545,
1991-05-13,0.0,21000,1.8364837427379164,3.2543821334838867,5.357184886932373,3.484999418258667,9.953642845153809,2.972373540856033,
1991-05-15,0.0,20000,2.5220477946968947,3.175076723098755,6.762803077697754,1.029248595237732,5.928186893463135,1.7404669260700407,
1991-05-17,0.0,20900,3.144560230149305,15.826942443847656,28.94667053222656,20.011749267578125,13.196106910705566,24.78365758754865,
1991-05-19,0.0,24100,22.370927369882693,22.054317474365234,21.121232986450195,27.15042304992676,19.52500915527344,28.316731517509748,
1991-05-24,0.0,23000,3.8004474205044634,11.875676155090332,2.056920289993286,2.7976558208465576,5.686022758483887,15.405836575875492,
1991-06-01,0.0,20500,5.598535363450664,1.62469220161438,6.81608247756958,5.552838325500488,6.107895851135254,4.851945525291826,
1991-06-04,0.0,20700,2.327764820634925,3.0210189819335938,6.199681282043457,3.888153076171875,2.5002429485321045,1.4505836575875497,
