event_date,window_date,ar_scale,prism,pnnl,daymet,conus,ucla,gridmet
1989-11-09,1989-11-07,4.0,38.341678619384766,12.155367851257324,15.4900541305542,8.282615661621094,12.686344146728516,6.662840466926072
1989-11-09,1989-11-08,4.0,13.755898475646973,20.174564361572266,54.484161376953125,39.06895065307617,44.0450553894043,94.31381322957189
1989-11-09,1989-11-09,4.0,99.05728912353516,69.08441162109375,61.53437805175781,72.77976989746094,91.13590240478516,64.952140077821
1989-11-09,1989-11-10,4.0,,64.8537368774414,33.39942932128906,65.83016204833984,74.1953353881836,48.76634241245134
1989-11-09,1989-11-11,4.0,,0.9679697751998901,18.82054328918457,10.140419960021973,13.558849334716797,16.748638132295714
1989-11-09,1989-11-12,4.0,22.695499420166016,7.637532711029053,9.435579299926758,14.839659690856934,12.66698932647705,17.570038910505833
1989-11-09,1989-11-13,4.0,4.808931350708008,9.32823657989502,13.364668846130371,14.341976165771484,18.822412490844727,19.479571984435808
1989-11-09,1989-11-14,4.0,23.330698013305664,11.13421630859375,5.771047592163086,6.1569108963012695,7.56141996383667,0.9982490272373534
1990-11-09,1990-11-07,4.0,15.661211013793945,18.729623794555664,13.552157402038574,16.454513549804688,11.889836311340332,34.472373540856026
1990-11-09,1990-11-08,4.0,15.958704948425293,7.673418998718262,49.0595817565918,7.754878520965576,9.454946517944336,46.71692607003889
1990-11-09,1990-11-09,4.0,72.70894622802734,78.13927459716797,95.62078094482422,109.12344360351562,119.13127899169922,172.4945525291827
1990-11-09,1990-11-10,4.0,,93.81504821777344,47.59392547607422,81.49634552001953,75.44015502929688,38.32568093385212
1990-11-09,1990-11-11,4.0,,14.203060150146484,6.935086727142334,11.641141891479492,12.521904945373535,2.0677042801556405
1990-11-09,1990-11-12,4.0,,0.11351381242275238,27.9962100982666,4.491878158319196e-08,0.7191962599754333,28.505836575875467
1990-11-09,1990-11-13,4.0,,54.578407287597656,34.197628021240234,52.26564025878906,50.83196258544922,58.166926070038954
1990-11-09,1990-11-14,4.0,37.468631744384766,8.4454984664917,20.664167404174805,12.366666793823242,13.188469886779785,16.657782101167328
1990-11-24,1990-11-22,5.0,66.23300170898438,54.650394439697266,57.50481414794922,64.7183609008789,84.35044860839844,77.26848249027238
1990-11-24,1990-11-23,5.0,59.59267044067383,48.85634231567383,80.7025375366211,77.31169128417969,94.22506713867188,79.47470817120622
1990-11-24,1990-11-24,5.0,114.34066772460938,78.42183685302734,65.05133056640625,77.68160247802734,75.99019622802734,89.752140077821
1990-11-24,1990-11-25,5.0,59.52311325073242,18.921890258789062,15.849520683288574,11.279446601867676,17.00001335144043,8.252529182879382
1990-11-24,1990-11-26,5.0,8.029545783996582,0.30984026193618774,9.980279922485352,0.3433881998062134,2.8743975162506104,9.276264591439682
1990-11-24,1990-11-27,5.0,16.19939613342285,12.168928146362305,6.765407085418701,12.836858749389648,18.85622787475586,11.231712062256806
1990-11-24,1990-11-28,5.0,5.337587833404541,5.280186176300049,14.103209495544434,4.586157321929932,6.903922080993652,6.092023346303501
1990-11-24,1990-11-29,5.0,18.69399070739746,58.204811096191406,21.978792190551758,38.120540618896484,51.353614807128906,44.21575875486384
2009-01-08,2009-01-06,4.0,21.114368438720703,20.425514221191406,80.81063079833984,31.13169288635254,37.57908630371094,80.98871595330743
2009-01-08,2009-01-07,4.0,101.56299591064453,97.62925720214844,91.28340148925781,103.56344604492188,113.8020248413086,152.66731517509737
2009-01-08,2009-01-08,4.0,115.29409790039062,56.040283203125,25.482126235961914,47.55194091796875,51.74376678466797,52.909143968871554
2009-01-08,2009-01-09,4.0,29.595706939697266,2.8762083053588867,5.789454936981201,0.443518728017807,1.7556354999542236,2.305836575875487
2009-01-08,2009-01-10,4.0,5.11346960067749,23.440135955810547,15.474437713623047,8.483389854431152,24.99514389038086,20.079377431906597
2009-01-08,2009-01-11,4.0,15.802031517028809,28.739665985107422,8.956888198852539,8.679728507995605,17.198484420776367,6.12140077821012
2009-01-08,2009-01-12,4.0,11.385823249816895,0.784034252166748,6.434308052062988,0.2039009928703308,4.162928104400635,2.4832684824902747
2009-01-08,2009-01-13,4.0,8.36290454864502,0.9647207856178284,0.02608073316514492,0.10990829765796661,0.6330581307411194,0.005252918287937744
2025-12-11,2025-12-09,4.0,76.4718017578125,,,,,
2025-12-11,2025-12-10,4.0,26.76761245727539,,,,,
2025-12-11,2025-12-11,4.0,134.22865295410156,,,,,
2025-12-11,2025-12-12,4.0,19.9693660736084,,,,,
2025-12-11,2025-12-13,4.0,8.333900451660156,,,,,
2025-12-11,2025-12-14,4.0,0.10447319597005844,,,,,
2025-12-11,2025-12-15,4.0,14.815170288085938,,,,,
2025-12-11,2025-12-16,4.0,61.48349380493164,,,,,
