date,ar_scale,discharge_cfs,prism_3d_tot,daymet_3d_tot,pnnl_3d_tot,conus_3d_tot,ucla_3d_tot,gridmet_3d_tot,hrrr_3d_tot
1981-01-08,1.0,17800,0.6893890500068665,2.347281217575073,1.6771308183670044,0.399434745311737,0.5947146415710449,2.7891050583657577,
1981-01-09,1.0,17600,1.909838914871216,2.8508529663085938,8.991935729980469,2.43099308013916,9.246622085571287,3.156809338521402,
1981-01-11,0.0,15100,2.1038289070129395,0.8918649554252625,8.373149871826172,2.43091893196106,9.19742202758789,0.4764591439688734,
1981-01-18,3.0,12900,6.131137847900391,13.52040672302246,21.46097946166992,11.162982940673828,16.286510467529297,8.262256809338524,
1981-01-19,3.0,12600,11.069244384765623,14.95183563232422,36.4351692199707,12.47393798828125,20.061473846435547,8.737743190661481,
1981-01-20,3.0,13100,11.557271003723145,16.381574630737305,38.02790832519531,9.792253494262695,15.713963508605955,6.362840466926073,
1981-01-21,3.0,12300,14.840140342712402,16.734527587890625,28.58140563964844,14.401647567749023,12.541755676269531,19.023346303501956,
1981-01-22,2.0,14500,17.14556121826172,22.17254066467285,22.891014099121094,28.168869018554688,27.41371726989746,29.884435797665372,
1981-01-26,0.0,13000,11.986806869506836,20.57977867126465,21.600814819335938,19.075902938842773,25.80189514160156,19.25680933852142,
1981-02-07,0.0,8160,0.0,0.0,0.0024604047648608,0.0,0.0009784309659153,0.2326848249027235,
1981-02-12,1.0,9910,29.77497100830078,50.39055633544922,23.79949760437012,19.60178565979004,7.019163131713867,63.37451361867704,
1981-02-13,1.0,12700,54.302371978759766,72.74325561523438,65.80339050292969,44.04479217529297,36.57292175292969,76.42529182879379,
1981-02-15,3.0,22000,81.88279724121094,88.14964294433594,142.7772674560547,101.1779327392578,114.47817993164062,100.64747081712062,
1981-02-16,3.0,33800,119.53263854980467,103.7980499267578,164.87965393066406,136.68002319335938,146.58392333984375,144.19747081712055,
1981-02-17,3.0,43700,135.3011474609375,102.99879455566406,170.57778930664062,139.84957885742188,147.93295288085938,130.92937743190657,
1981-02-18,2.0,38900,137.33448791503906,93.45126342773438,146.63841247558594,127.65185546875,129.6432342529297,123.32159533073936,
1981-02-19,2.0,37500,112.22259521484376,75.94854736328125,148.26663208007812,119.56887817382812,128.10279846191406,104.9305447470818,
1981-02-20,0.0,39700,85.18689727783203,59.110313415527344,118.96176147460938,93.55549621582033,101.83841705322266,86.30583657587556,
1981-03-06,0.0,10900,11.730453491210938,0.6283574104309082,3.760090351104736,10.354272842407228,4.98371696472168,1.8846303501945527,
1981-03-10,0.0,8930,0.2970279157161712,0.0,0.959582269191742,0.9098150134086608,0.7667720317840576,0.0052529182879377,
1981-03-13,0.0,11300,0.0541468188166618,0.0,1.0870003563923092e-08,0.0181777626276016,0.2329583764076233,0.1727626459143967,
1981-03-26,0.0,12200,16.525325775146484,12.829028129577637,21.47007179260254,11.642044067382812,21.315208435058597,9.900389105058364,
1981-04-01,0.0,17800,50.30244827270508,30.52937126159668,59.1796989440918,53.04676055908203,51.82251739501953,35.75583657587549,
1981-04-07,0.0,15300,41.87031555175781,34.02315139770508,55.61738204956055,39.79831314086914,50.71296310424805,58.84143968871594,
1981-04-10,0.0,16500,58.82178115844727,42.23162078857422,56.95548248291016,52.966434478759766,54.59730529785156,60.51809338521403,
1981-04-18,0.0,15600,10.14186191558838,2.8958630561828613,14.161800384521484,9.889148712158203,9.656192779541016,3.895525291828796,
1981-04-21,0.0,18600,6.238901615142822,15.33135223388672,5.485100269317627,8.733503341674805,12.931900024414062,11.898638132295726,
1981-04-22,3.0,20800,29.331378936767575,25.79230117797852,22.382015228271484,42.0843505859375,43.14414596557617,41.03521400778209,
1981-04-23,3.0,24300,45.38054656982422,36.44515609741211,32.54507827758789,43.600345611572266,44.893798828125,47.647665369649786,
1981-04-24,3.0,30200,59.48952102661133,28.412899017333984,60.81867599487305,54.42026519775391,49.50882339477539,51.38735408560308,
1981-04-27,3.0,18700,1.813295841217041,27.47062110900879,2.048300743103028,6.452362537384033,7.806766510009766,36.17937743190663,
1981-04-28,3.0,23200,43.94541549682617,47.144168853759766,40.568660736083984,47.45626831054688,64.5938949584961,62.14980544747084,
1981-04-29,3.0,32400,63.921630859375,48.579376220703125,45.4697494506836,50.56010437011719,74.48588562011719,58.38132295719846,
1981-05-08,0.0,13600,7.463885307312012,10.261220932006836,4.800795078277588,7.234801769256592,11.500537872314451,4.549416342412453,
1981-05-09,0.0,11500,12.22077751159668,9.709461212158203,5.278165340423584,7.316026210784912,13.464441299438477,8.205058365758756,
1981-05-27,0.0,17600,21.53264045715332,7.08980131149292,16.62624168395996,11.975858688354492,9.929468154907228,11.297470817120615,
1981-05-29,0.0,15000,0.0880714282393455,2.817900896072388,0.0592321343719959,0.0040874746628105,0.112185537815094,3.258365758754864,
1981-06-01,0.0,15700,5.068533897399902,5.067694664001465,3.118240594863892,6.832634925842285,6.441662788391113,2.482101167315176,
1981-06-03,1.0,14000,4.545751571655273,14.035629272460938,8.27276611328125,5.023643493652344,5.099893569946289,19.619455252918307,
1981-06-04,1.0,17400,17.253673553466797,15.919471740722656,22.74742126464844,14.316590309143066,15.252079010009766,30.189494163424143,
1981-06-05,1.0,17300,18.07534408569336,34.32883071899414,31.199954986572266,27.37168884277344,34.50646209716797,52.0274319066148,
1981-06-17,2.0,22300,29.81517791748047,29.487031936645508,29.370418548583984,20.96367073059082,15.971824645996094,38.40933852140077,
1981-06-18,2.0,23300,38.20040130615234,39.25444793701172,45.37084197998047,36.127220153808594,29.96031379699707,58.84319066147857,
1981-06-19,2.0,28400,49.32757186889648,38.27475357055664,58.23676681518555,39.98277282714844,34.83646011352539,51.90856031128404,
1981-06-20,0.0,31400,44.947792053222656,39.61656951904297,60.45624542236328,34.932491302490234,33.60945510864258,44.97412451361868,
1981-06-21,2.0,29300,44.96393966674805,23.37879753112793,45.145263671875,27.988525390625,23.0879020690918,21.944357976653716,
1981-06-22,2.0,27500,22.486560821533203,23.72599220275879,23.6882438659668,20.841625213623047,15.696632385253906,21.870817120622583,
1981-06-25,0.0,24800,13.299822807312012,2.466381072998047,5.519919395446777,6.472239971160889,4.3196797370910645,1.980350194552528,
1981-06-30,0.0,22800,0.7983433604240417,4.624083995819092,1.270830750465393,0.3732043504714966,0.6285979151725769,4.343190661478597,
1981-07-02,0.0,22600,4.544123649597168,3.185319662094116,1.321297526359558,0.302354484796524,0.3282558023929596,2.7556420233463017,
1981-07-10,0.0,14000,8.583916664123535,5.355858325958252,0.6446874737739563,0.2890150845050812,1.194793462753296,2.793968871595329,
1981-07-13,0.0,15600,10.724308967590332,25.748647689819336,10.355401039123535,16.935033798217773,11.484222412109377,22.595525291828796,
1981-07-18,0.0,19100,12.24810791015625,19.48946189880371,0.4866463840007782,2.880965232849121,7.020256042480469,18.461673151750965,
1981-07-21,0.0,17900,10.692649841308594,8.177284240722656,1.400322437286377,1.8854529857635496,3.175299644470215,1.7826848249027214,
1981-07-24,0.0,15200,0.1649801731109619,2.915588617324829,3.349057197570801,1.963211178779602,5.619793891906738,2.0830739299610883,
1981-08-01,0.0,12100,2.4482996463775635,0.0338162370026111,0.7616335153579712,1.2372000217437744,3.97104287147522,0.0737354085603113,
1981-08-25,0.0,9220,0.0673630908131599,0.0002422666293568,0.5641070604324341,0.2330389022827148,0.0984590426087379,0.0552529182879377,
1981-08-31,2.0,6660,6.586818695068359,28.612207412719727,4.923800468444824,3.891220569610596,11.367448806762695,17.72373540856031,
1981-09-01,2.0,11000,38.27140426635742,36.540283203125,26.75466728210449,23.40536880493164,36.75456237792969,34.79027237354085,
1981-09-03,0.0,12700,48.20909881591797,14.076119422912598,23.92461395263672,19.79889297485352,28.036148071289062,20.450778210116724,
1981-09-15,0.0,6120,0.0708730146288871,0.0,0.000522147398442,0.0,0.0,0.4476653696498055,
1981-09-16,2.0,7540,0.0020932538900524,0.0,0.0016207427252084,0.0,0.0,0.611284046692607,
1981-09-17,2.0,7700,0.0546805523335933,0.0,0.0033800760284066,0.0,0.0269343219697475,1.136575875486381,
1981-09-18,2.0,8660,0.0546805523335933,8.604639053344727,1.1453191041946411,0.0052497363649308,0.1299653202295303,4.594941634241247,
1981-09-20,1.0,8140,11.105730056762695,22.651626586914062,16.030899047851562,6.348590850830078,6.506683349609375,27.804669260700365,
1981-09-21,1.0,7810,26.111717224121094,23.160511016845703,41.05651092529297,33.68549346923828,32.768985748291016,42.75817120622565,
1981-09-23,0.0,8180,36.82923889160156,16.087522506713867,37.48066329956055,39.770164489746094,41.70705795288086,27.876653696498057,
1981-09-25,0.0,5720,10.954842567443848,5.629486083984375,5.969326972961426,7.0248212814331055,10.63129997253418,7.9363813229572,
1981-09-26,1.0,7280,5.573535919189453,12.301153182983398,5.773838043212891,3.3512847423553467,5.657168865203857,14.728599221789889,
1981-09-27,1.0,6760,8.306496620178223,26.834197998046875,28.11561584472656,14.239336967468262,13.353759765625,49.70739299610892,
1981-09-30,2.0,13200,53.00204849243164,25.276704788208008,26.337432861328125,34.47721099853516,30.05624008178711,19.29221789883269,
1981-10-01,2.0,11500,26.745756149291992,41.89808654785156,16.347492218017578,34.91138458251953,38.57686233520508,40.10817120622566,
1981-10-02,2.0,20300,49.51602935791016,45.23485565185547,35.67134094238281,48.20001602172852,53.953857421875,50.22062256809337,
1981-10-03,0.0,16600,53.36077499389648,43.73998260498047,37.82233047485352,50.79488754272461,51.711334228515625,45.16867704280154,
1981-10-05,2.0,8640,10.108474731445312,29.964405059814453,21.108850479125977,20.592845916748047,23.517621994018555,27.99435797665368,
1981-10-06,2.0,18000,46.70814514160156,52.48522567749024,78.54325103759766,63.48259353637695,58.79628753662109,77.19124513618677,
1981-10-07,2.0,32900,71.66024017333984,60.073951721191406,99.85237121582033,81.44534301757812,78.06880950927734,82.5239299610895,
1981-10-10,0.0,17600,24.26689910888672,14.434664726257324,34.930606842041016,27.98919486999512,39.09718322753906,19.509338521400792,
